设备编号,货道名称,商品名称,商品编号,分类,参考价格,实际价格,可售库存,合计库存
`FS100052,货道1,娃哈哈桂圆莲子八宝粥(CAN360ml),INTR218012884,食品,4,4,99934,99934
`FS100052,货道2,旺旺牛奶(CAN245ml),INTR783012872,饮料,6,5.5,99829,99829
`FS100052,货道3,统一鲜橙多(CAN310ml),INTR767011663,饮料,3,3,99912,99912
`FS100052,货道4,统一鲜橙多(CAN310ml),INTR767011663,饮料,3,3,99921,99921
`FS100052,货道5,小野[芒果汁](CAN245ml),INTR457012418,饮料,3,3,99933,99933
`FS100052,货道6,小野[芒果汁](CAN245ml),INTR457012418,饮料,3,3,99945,99945
`FS100052,货道7,美汁源果粒奶优[香蕉味](450ml),INTR417013627,饮料,4.5,4.5,99816,99816
`FS100052,货道8,脉动[青柠味](PET600ml),INTR924012868,饮料,4,5,99886,99886
`FS100052,货道9,统一绿茶[茉莉](PET500ml),INTR577011683,饮料,3,3,99879,99879
`FS100052,货道10,统一阿萨姆[奶茶原味](PET500ml),INTR230011689,饮料,4.5,4.5,99919,99919
`FS100052,货道11,统一阿萨姆[奶茶原味](PET500ml),INTR230011689,饮料,4.5,4.5,99914,99914
`FS100052,货道13,饮养四季[金桔柠檬](PET500ml),INTR372011680,饮料,3.5,3.5,99857,99857
`FS100052,货道14,,,,,3,99999,99999
`FS100052,货道15,统一冰绿茶[青梅绿茶](PET500ml),INTR469011681,饮料,3,3,99840,99840
`FS100052,货道16,,,,,,0,0
`FS100052,货道17,统一鲜橙多(PET450ml),INTR910011664,饮料,3.5,3.5,99870,99870
`FS100052,货道19,统一鲜橙多(PET450ml),INTR910011664,饮料,3.5,3.5,99879,99879
`FS100052,货道21,统一鲜橙多(PET450ml),INTR910011664,饮料,3.5,3.5,99902,99902
`FS100052,货道23,娃哈哈营养快线(PET500ml),INTR409012898,饮料,5,5,99901,99901
`FS100052,货道24,今麦郎芒顿小镇柠檬水(PET500ml),INTR322012790,饮料,2.5,2.5,99851,99851
`FS100052,货道25,小茗同学[青柠红茶](PET480ml),INTR297011693,饮料,5,5,99874,99874
`FS100052,货道26,统一绿茶[茉莉](PET500ml),INTR577011683,饮料,3,3,99938,99938
`FS100052,货道27,统一饮养四季[冰糖雪梨](PET500ml),INTR56004726,饮料,3.5,3.5,99930,99930
`FS100052,货道28,格泉饮用天然水(PET500ml),INTR252012401,矿泉水,2,2,99925,99925
`FS100052,货道29,焕神[热带水果风味]饮料(PET460ml),INTR583011691,饮料,5,5,99876,99876
