设备编号,货道名称,商品名称,商品编号,分类,参考价格,实际价格,可售库存,合计库存
`FS101036,货道1,统一冰红茶(CAN310ml),INTR115011662,饮料,2.5,3,99972,99972
`FS101036,货道2,统一冰红茶(CAN310ml),INTR115011662,饮料,2.5,3,99984,99984
`FS101036,货道3,雪碧[自购版](CAN330ml),INTR685011636,饮料,3,3,99987,99987
`FS101036,货道4,雪碧[自购版](CAN330ml),INTR685011636,饮料,3,3,99994,99994
`FS101036,货道5,统一鲜橙多(CAN310ml),INTR767011663,饮料,3,3,99984,99984
`FS101036,货道6,统一鲜橙多(CAN310ml),INTR767011663,饮料,3,3,99988,99988
`FS101036,货道7,ALKAQUA[饮用天然矿泉水](PET570ml),INTR997009154,矿泉水,4,5,99987,99987
`FS101036,货道8,ALKAQUA[饮用天然矿泉水](PET570ml),INTR997009154,矿泉水,4,5,99994,99994
`FS101036,货道9,ALKAQUA[饮用天然矿泉水](PET570ml),INTR997009154,矿泉水,4,5,99996,99996
`FS101036,货道10,ALKAQUA[饮用天然矿泉水](PET570ml),INTR997009154,矿泉水,4,5,99992,99992
`FS101036,货道11,ALKAQUA[饮用天然矿泉水](PET570ml),INTR997009154,矿泉水,4,5,99989,99989
`FS101036,货道13,怡宝[纯净水](PET555ml),INTR128012109,矿泉水,2,3,99957,99957
`FS101036,货道14,,,,,,0,0
`FS101036,货道15,怡宝[纯净水](PET555ml),INTR128012109,矿泉水,2,3,99973,99973
`FS101036,货道16,,,,,,0,0
`FS101036,货道17,怡宝[纯净水](PET555ml),INTR128012109,矿泉水,2,3,99969,99969
`FS101036,货道19,怡宝[纯净水](PET555ml),INTR128012109,矿泉水,2,3,99967,99967
`FS101036,货道21,怡宝[纯净水](PET555ml),INTR128012109,矿泉水,2,3,99969,99969
`FS101036,货道23,统一冰红茶[柠檬](PET500ml),INTR894011688,饮料,3,4,99981,99981
`FS101036,货道24,统一冰红茶[柠檬](PET500ml),INTR894011688,饮料,3,4,99968,99968
`FS101036,货道25,统一冰红茶[柠檬](PET500ml),INTR894011688,饮料,3,4,99961,99961
`FS101036,货道26,统一冰绿茶[青梅绿茶](PET500ml),INTR469011681,饮料,3,4,99990,99990
`FS101036,货道27,统一冰绿茶[青梅绿茶](PET500ml),INTR469011681,饮料,3,4,99994,99994
`FS101036,货道28,统一冰绿茶[青梅绿茶](PET500ml),INTR469011681,饮料,3,4,99990,99990
`FS101036,货道29,达利园青梅绿茶(PET500ml),INTR537012876,饮料,3,4,99981,99981
`FS101036,货道30,达利园青梅绿茶(PET500ml),INTR537012876,饮料,3,4,99985,99985
`FS101036,货道31,统一冰绿茶[青梅绿茶](PET500ml),INTR469011681,饮料,3,4,99988,99988
`FS101036,货道32,焕神[热带水果风味]饮料(PET460ml),INTR583011691,饮料,5,6,99977,99977
`FS101036,货道33,焕神[热带水果风味]饮料(PET460ml),INTR583011691,饮料,5,6,99978,99978
