设备编号,货道名称,商品名称,商品编号,分类,参考价格,实际价格,可售库存,合计库存
`FS100313,货道1,统一好料道[仙草凉茶](CAN310ml),INTR791011678,饮料,4,4,29,29
`FS100313,货道2,统一果汁[金桔柠檬](CAN310ml),1.56473E+17,开门柜,3,3,24,24
`FS100313,货道3,统一冰红茶(CAN310ml),INTR115011662,饮料,2.5,2.5,25,25
`FS100313,货道4,统一冰绿茶[青梅绿茶](CAN310ml),INTG116100075,饮料,2.5,2.5,22,22
`FS100313,货道5,统一冰绿茶[青梅绿茶](CAN310ml),INTG116100075,饮料,2.5,2.5,23,23
`FS100313,货道6,统一冰红茶(CAN310ml),INTR115011662,饮料,2.5,2.5,24,24
`FS100313,货道7,统一阿萨姆[奶茶原味](PET500ml),INTR230011689,饮料,4.5,4.5,21,21
`FS100313,货道8,统一阿萨姆[奶茶原味](PET500ml),INTR230011689,饮料,4.5,4.5,23,23
`FS100313,货道9,雅哈[冰咖啡](PET450ml),INTR470011686,饮料,5.5,5.5,16,16
`FS100313,货道10,雅哈[冰咖啡](PET450ml),INTR470011686,饮料,5.5,5.5,17,17
`FS100313,货道11,雅哈[冰咖啡](PET450ml),INTR470011686,饮料,5.5,5.5,0,0
`FS100313,货道13,可口可乐[自购版](PET500ml),INTR724012203,饮料,3.5,3.5,9,9
`FS100313,货道14,,,,,,0,0
`FS100313,货道15,可口可乐[自购版](PET500ml),INTR724012203,饮料,3.5,3.5,0,0
`FS100313,货道16,,,,,,0,0
`FS100313,货道17,可口可乐[自购版](PET500ml),INTR724012203,饮料,3.5,3.5,0,0
`FS100313,货道19,统一阿萨姆[青提茉莉](PET450ml),INTR269013402,饮料,4.5,4.5,20,20
`FS100313,货道21,统一阿萨姆[白桃观音](PET450ml),INTR609013401,饮料,4.5,4.5,20,20
`FS100313,货道23,饮养四季[金桔柠檬](PET500ml),INTR372011680,饮料,3.5,3.5,23,23
`FS100313,货道24,统一鲜橙多(PET450ml),INTR910011664,饮料,3.5,3.5,23,23
`FS100313,货道25,统一冰红茶[柠檬](PET500ml),INTR894011688,饮料,3,3,15,15
`FS100313,货道26,统一冰绿茶[青梅绿茶](PET500ml),INTR469011681,饮料,3,3,21,21
`FS100313,货道27,统一饮养四季[冰糖雪梨](PET500ml),INTR56004726,饮料,3.5,3.5,20,20
`FS100313,货道28,小茗同学[溜溜哒茶](PET480ml),INTR973011692,饮料,5,5,21,21
`FS100313,货道29,焕神[热带水果风味]饮料(PET460ml),INTR583011691,饮料,5,5,10,10
`FS100313,货道30,体质能量(PET580ml),INTR468012175,饮料,4,4,13,13
`FS100313,货道31,格泉饮用天然水(PET500ml),INTR252012401,矿泉水,2,2,22,22
`FS100313,货道32,海之言[柠檬](PET500ml),INTR039011682,饮料,4,4,17,17
`FS100313,货道33,海之言[柠檬](PET500ml),INTR039011682,饮料,4,4,19,19
`FS100313,货道34,海之言[柠檬](PET500ml),INTR039011682,饮料,4,4,21,21
`FS100042,货道1,统一冰绿茶[青梅绿茶](CAN310ml),INTG116100075,饮料,2.5,3.5,99998,99998
`FS100042,货道2,统一好料道[仙草凉茶](CAN310ml),INTR791011678,饮料,4,5,99999,99999
`FS100042,货道3,统一鲜橙多(CAN310ml),INTR767011663,饮料,3,4,99999,99999
`FS100042,货道4,统一冰红茶(CAN310ml),INTR115011662,饮料,2.5,3.5,99999,99999
`FS100042,货道5,小野[芒果汁](CAN245ml),INTR457012418,饮料,3,4,99998,99998
`FS100042,货道6,统一果汁[金桔柠檬](CAN310ml),1.56473E+17,开门柜,3,4,99999,99999
`FS100042,货道7,百事可乐(PET600ml),INTR065012794,饮料,3.5,3.5,99984,99984
`FS100042,货道8,农夫山泉力量帝维他命水(PET500ml),INTR911012108,饮料,5,6,99996,99996
`FS100042,货道9,农夫山泉力量帝维他命水(PET500ml),INTR911012108,饮料,5,6,99996,99996
`FS100042,货道10,海之言[柠檬](PET500ml),INTR039011682,饮料,4,5,99990,99990
`FS100042,货道11,海之言[蓝莓](PET500ml),INTR526012420,饮料,4,5,99997,99997
`FS100042,货道13,统一绿茶[茉莉](PET500ml),INTR577011683,饮料,3,4,99996,99996
`FS100042,货道14,,,,,,0,0
`FS100042,货道15,统一绿茶[茉莉](PET500ml),INTR577011683,饮料,3,4,99993,99993
`FS100042,货道16,,,,,,0,0
`FS100042,货道17,ALKAQUA[饮用天然矿泉水](PET570ml),INTR495012438,矿泉水,4,5,99997,99997
`FS100042,货道19,ALKAQUA[饮用天然矿泉水](PET570ml),INTR495012438,矿泉水,4,5,99995,99995
`FS100042,货道21,海之言[桃桃百香果](PET500ml),INTR950012403,饮料,4,5,99997,99997
`FS100042,货道23,农夫山泉(PET550ml),INTR993012106,矿泉水,2,2.5,99990,99990
`FS100042,货道24,农夫山泉(PET550ml),INTR993012106,矿泉水,2,2.5,99994,99994
`FS100042,货道25,统一鲜橙多(PET450ml),INTR910011664,饮料,3.5,4.5,99998,99998
`FS100042,货道26,统一冰红茶[柠檬](PET500ml),INTR894011688,饮料,3,4,99990,99990
`FS100042,货道27,A-Ha[柠檬]气泡水果饮料(PET500ml),INTR578012419,饮料,3,5,99998,99998
`FS100042,货道28,A-Ha[苹果]气泡水果饮料(PET500ml),INTR255012430,饮料,3,5,99998,99998
`FS100042,货道29,统一阿萨姆[奶茶原味](PET500ml),INTR230011689,饮料,4.5,5.5,99994,99994
`FS100042,货道30,统一冰绿茶[青梅绿茶](PET500ml),INTR469011681,饮料,3,4,99992,99992
`FS100042,货道31,饮养四季[金桔柠檬](PET500ml),INTR372011680,饮料,3.5,4.5,99996,99996
`FS100042,货道32,焕神[热带水果风味]饮料(PET460ml),INTR583011691,饮料,5,6,99998,99998
`FS100042,货道33,格泉饮用天然水(PET500ml),INTR252012401,矿泉水,2,2.5,99995,99995
`FS100042,货道34,统一轻啵苏打水[柠檬味](PET500ml),INTR773011687,饮料,3.5,4,99999,99999
`FS100542,货道1,统一冰红茶(CAN310ml),INTR115011662,饮料,2.5,2.5,30,30
`FS100542,货道2,统一果汁[金桔柠檬](CAN310ml),1.56473E+17,开门柜,3,3,29,29
`FS100542,货道3,旺旺牛奶(CAN245ml),INTR783012872,饮料,6,5.5,21,21
`FS100542,货道4,统一好料道[仙草凉茶](CAN310ml),INTR791011678,饮料,4,4,30,30
`FS100542,货道5,统一鲜橙多(CAN310ml),INTR767011663,饮料,3,3,26,26
`FS100542,货道6,旺旺牛奶(CAN245ml),INTR783012872,饮料,6,5.5,29,29
`FS100542,货道7,统一轻啵苏打水[桃花味](PET500ml),INTR876012423,饮料,3.5,3.5,28,28
`FS100542,货道8,可口可乐[自购版](PET500ml),INTR724012203,饮料,3.5,3.5,17,17
