设备编号,货道名称,商品名称,商品编号,分类,参考价格,实际价格,可售库存,合计库存
`FS101331,货道1,统一冰红茶(CAN310ml),INTR115011662,饮料,2.5,2,99937,99937
`FS101331,货道2,统一冰红茶(CAN310ml),INTR115011662,饮料,2.5,2,99906,99906
`FS101331,货道3,雪碧[自购版](CAN330ml),INTR685011636,饮料,3,2.5,99911,99911
`FS101331,货道4,雪碧[自购版](CAN330ml),INTR685011636,饮料,3,2.5,99945,99945
`FS101331,货道5,统一鲜橙多(CAN310ml),INTR767011663,饮料,3,2.5,99884,99884
`FS101331,货道6,统一鲜橙多(CAN310ml),INTR767011663,饮料,3,2.5,99908,99908
`FS101331,货道7,娃哈哈葡萄汁(PET500ml),INTR106013579,饮料,3,3,99813,99813
`FS101331,货道8,娃哈哈葡萄汁(PET500ml),INTR106013579,饮料,3,3,99840,99840
`FS101331,货道9,娃哈哈葡萄汁(PET500ml),INTR106013579,饮料,3,3,99855,99855
`FS101331,货道10,海之言[柠檬](PET500ml),INTR039011682,饮料,4,4,99902,99902
`FS101331,货道11,海之言[柠檬](PET500ml),INTR039011682,饮料,4,4,99900,99900
`FS101331,货道13,可口可乐[自购版](PET500ml),INTR724012203,饮料,3.5,3,99703,99703
`FS101331,货道14,,,,,,0,0
`FS101331,货道15,可口可乐[自购版](PET500ml),INTR724012203,饮料,3.5,3,99606,99606
`FS101331,货道16,,,,,,0,0
`FS101331,货道17,可口可乐[自购版](PET500ml),INTR724012203,饮料,3.5,3,99685,99685
`FS101331,货道19,统一鲜橙多(PET450ml),INTR910011664,饮料,3.5,3,99768,99768
`FS101331,货道21,统一鲜橙多(PET450ml),INTR910011664,饮料,3.5,3,99766,99766
`FS101331,货道23,统一冰绿茶[青梅绿茶](PET500ml),INTR469011681,饮料,3,3,99978,99978
`FS101331,货道24,统一冰绿茶[青梅绿茶](PET500ml),INTR469011681,饮料,3,3,99978,99978
`FS101331,货道25,统一冰绿茶[青梅绿茶](PET500ml),INTR469011681,饮料,3,3,99982,99982
`FS101331,货道26,焕神[热带水果风味]饮料(PET460ml),INTR583011691,饮料,5,5,99732,99732
`FS101331,货道27,统一轻啵苏打水[柠檬味](PET500ml),INTR773011687,饮料,3.5,3.5,99930,99930
`FS101331,货道28,统一轻啵苏打水[柠檬味](PET500ml),INTR773011687,饮料,3.5,3.5,99936,99936
`FS101331,货道29,小茗同学[鸭屎香柠檬茶](PET480ml),INTR116013656,饮料,5,5,99984,99984
`FS101331,货道30,统一冰红茶[柠檬](PET500ml),INTR894011688,饮料,3,3,99826,99826
`FS101331,货道31,统一冰红茶[柠檬](PET500ml),INTR894011688,饮料,3,3,99809,99809
`FS101331,货道32,怡宝[纯净水](PET555ml),INTR128012109,矿泉水,2,2,99866,99866
`FS101331,货道33,怡宝[纯净水](PET555ml),INTR128012109,矿泉水,2,2,99849,99849
`FS101331,货道34,怡宝[纯净水](PET555ml),INTR128012109,矿泉水,2,2,99871,99871
`FS101380,货道1,统一冰红茶(CAN310ml),INTR115011662,饮料,2.5,2.5,99965,99965
`FS101380,货道2,统一冰红茶(CAN310ml),INTR115011662,饮料,2.5,2.5,99913,99913
`FS101380,货道3,雪碧[自购版](CAN330ml),INTR685011636,饮料,3,3,99879,99879
`FS101380,货道4,雪碧[自购版](CAN330ml),INTR685011636,饮料,3,3,99932,99932
`FS101380,货道5,统一鲜橙多(CAN310ml),INTR767011663,饮料,3,3,99981,99981
`FS101380,货道6,统一鲜橙多(CAN310ml),INTR767011663,饮料,3,3,99970,99970
`FS101380,货道7,娃哈哈葡萄汁(PET500ml),INTR106013579,饮料,3,3.5,99859,99859
`FS101380,货道8,娃哈哈葡萄汁(PET500ml),INTR106013579,饮料,3,3.5,99885,99885
`FS101380,货道9,娃哈哈葡萄汁(PET500ml),INTR106013579,饮料,3,3.5,99874,99874
`FS101380,货道10,海之言[柠檬](PET500ml),INTR039011682,饮料,4,4,99942,99942
`FS101380,货道11,海之言[柠檬](PET500ml),INTR039011682,饮料,4,4,99910,99910
`FS101380,货道13,可口可乐[自购版](PET500ml),INTR724012203,饮料,3.5,3.5,99780,99780
`FS101380,货道14,,,,,,0,0
`FS101380,货道15,可口可乐[自购版](PET500ml),INTR724012203,饮料,3.5,3.5,99780,99780
`FS101380,货道16,,,,,,0,0
`FS101380,货道17,可口可乐[自购版](PET500ml),INTR724012203,饮料,3.5,3.5,99872,99872
`FS101380,货道19,农夫山泉力量帝维他命水(PET500ml),INTR911012108,饮料,5,5,99956,99956
`FS101380,货道21,农夫山泉力量帝维他命水(PET500ml),INTR911012108,饮料,5,5,99958,99958
`FS101380,货道23,统一冰红茶[柠檬](PET500ml),INTR894011688,饮料,3,3,99894,99894
`FS101380,货道24,统一冰红茶[柠檬](PET500ml),INTR894011688,饮料,3,3,99765,99765
`FS101380,货道25,统一鲜橙多(PET450ml),INTR910011664,饮料,3.5,3.5,99867,99867
`FS101380,货道26,统一鲜橙多(PET450ml),INTR910011664,饮料,3.5,3.5,99792,99792
`FS101380,货道27,焕神[热带水果风味]饮料(PET460ml),INTR583011691,饮料,5,5,99967,99967
`FS101380,货道28,焕神[热带水果风味]饮料(PET460ml),INTR583011691,饮料,5,5,99966,99966
`FS101380,货道29,小茗同学[青柠红茶](PET480ml),INTR297011693,饮料,5,5,99938,99938
`FS101380,货道30,统一绿茶[茉莉](PET500ml),INTR577011683,饮料,3,3,99918,99918
`FS101380,货道31,统一轻啵苏打水[柠檬味](PET500ml),INTR773011687,饮料,3.5,3.5,99954,99954
`FS101380,货道32,ALKAQUA[饮用天然矿泉水](PET570ml),INTR997009154,矿泉水,4,4,99904,99904
`FS101380,货道33,统一绿茶[茉莉](PET500ml),INTR577011683,饮料,3,3,99938,99938
`FS101380,货道34,统一绿茶[茉莉](PET500ml),INTR577011683,饮料,3,3,99970,99970
`FS100497,货道1,怡宝火咖[意式倍醇](CAN280ml),INTR284012885,饮料,4,4,99988,99988
`FS100497,货道2,怡宝火咖[意式倍醇](CAN280ml),INTR284012885,饮料,4,4,99984,99984
`FS100497,货道3,爱朵拉拿铁咖啡(CAN310ml),INTR459011637,饮料,4,4,99972,99972
`FS100497,货道4,爱朵拉拿铁咖啡(CAN310ml),INTR459011637,饮料,4,4,99993,99993
`FS100497,货道5,旺旺牛奶(CAN245ml),INTR783012872,饮料,6,5.5,99973,99973
`FS100497,货道6,旺旺牛奶(CAN245ml),INTR783012872,饮料,6,5.5,99988,99988
`FS100497,货道7,雅哈[冰咖啡](PET450ml),INTR470011686,饮料,5.5,5.5,99943,99943
`FS100497,货道8,统一阿萨姆[奶茶原味](PET500ml),INTR230011689,饮料,4.5,4.5,99964,99964
`FS100497,货道9,统一阿萨姆[奶茶原味](PET500ml),INTR230011689,饮料,4.5,4.5,99964,99964
`FS100497,货道10,统一阿萨姆[奶茶原味](PET500ml),INTR230011689,饮料,4.5,4.5,99952,99952
`FS100497,货道11,统一阿萨姆[奶茶原味](PET500ml),INTR230011689,饮料,4.5,4.5,99951,99951
