设备编号,货道名称,商品名称,商品编号,分类,参考价格,实际价格,可售库存,合计库存
`FS101343,货道1,可口可乐[自购版](CAN330ml),INTR121011635,饮料,3,3,9974,9974
`FS101343,货道2,可口可乐[自购版](CAN330ml),INTR121011635,饮料,3,3,9966,9966
`FS101343,货道3,宏宝莱碳酸饮料汽水荔枝味(CAN330ml),INTR992013247,饮料,3,3,9994,9994
`FS101343,货道4,宏宝莱碳酸饮料汽水荔枝味(CAN330ml),INTR992013247,饮料,3,3,9989,9989
`FS101343,货道5,爱朵拉拿铁咖啡(CAN310ml),INTR459011637,饮料,4,4,9992,9992
`FS101343,货道6,小野[芒果汁](CAN245ml),INTR457012418,饮料,3,3,9989,9989
`FS101343,货道7,统一冰红茶[柠檬](PET500ml),INTR894011688,饮料,3,3,9960,9960
`FS101343,货道8,统一冰红茶[柠檬](PET500ml),INTR894011688,饮料,3,3,9936,9936
`FS101343,货道9,统一冰绿茶[青梅绿茶](PET500ml),INTR469011681,饮料,3,3,9968,9968
`FS101343,货道10,统一冰绿茶[青梅绿茶](PET500ml),INTR469011681,饮料,3,3,9961,9961
`FS101343,货道11,雅哈[冰咖啡](PET450ml),INTR470011686,饮料,5.5,5.5,9981,9981
`FS101343,货道13,体质能量(PET580ml),INTR468012175,饮料,4,4,9896,9896
`FS101343,货道14,,,,,0,0,0
`FS101343,货道15,体质能量(PET580ml),INTR468012175,饮料,4,4,9910,9910
`FS101343,货道16,,,,,0,0,0
`FS101343,货道17,焕神[热带水果风味]饮料(PET460ml),INTR583011691,饮料,5,5,9966,9966
`FS101343,货道19,统一轻啵苏打水[桃花味](PET500ml),INTR876012423,饮料,3.5,3.5,9985,9985
`FS101343,货道21,饮养四季[金桔柠檬](PET500ml),INTR372011680,饮料,3.5,3,9921,9921
`FS101343,货道23,雪碧[自购版](CAN330ml),INTR685011636,饮料,3,3,9989,9989
`FS101343,货道24,雪碧[自购版](CAN330ml),INTR685011636,饮料,3,3,9983,9983
`FS101343,货道25,小茗同学[溜溜哒茶](PET480ml),INTR973011692,饮料,5,5,9973,9973
`FS101343,货道26,小茗同学[溜溜哒茶](PET480ml),INTR973011692,饮料,5,5,9979,9979
`FS101343,货道27,统一阿萨姆[奶茶原味](PET500ml),INTR230011689,饮料,4.5,4.5,9961,9961
`FS101343,货道28,统一阿萨姆[奶茶原味](PET500ml),INTR230011689,饮料,4.5,4.5,9950,9950
`FS101343,货道29,统一鲜橙多(PET450ml),INTR910011664,饮料,3.5,3.5,9980,9980
`FS101343,货道30,统一鲜橙多(PET450ml),INTR910011664,饮料,3.5,3.5,9965,9965
`FS101343,货道31,今麦郎芒顿小镇柠檬水(PET500ml),INTR322012790,饮料,2.5,3,9989,9989
`FS101343,货道32,元气森林苏打气泡水[荔枝味](PET480ml),INTR976013213,饮料,4,5,9991,9991
`FS101343,货道33,海之言[蓝莓](PET500ml),INTR526012420,饮料,4,4,9967,9967
`FS101343,货道34,海之言[蓝莓](PET500ml),INTR526012420,饮料,4,4,9965,9965
`FS101334,货道1,可口可乐[自购版](CAN330ml),INTR121011635,饮料,3,3,9943,9943
`FS101334,货道2,可口可乐[自购版](CAN330ml),INTR121011635,饮料,3,3,9942,9942
`FS101334,货道3,宏宝莱碳酸饮料汽水荔枝味(CAN330ml),INTR992013247,饮料,3,2.5,9965,9965
`FS101334,货道4,宏宝莱碳酸饮料汽水荔枝味(CAN330ml),INTR992013247,饮料,3,2.5,9971,9971
`FS101334,货道5,爱朵拉拿铁咖啡(CAN310ml),INTR459011637,饮料,4,4,9994,9994
`FS101334,货道6,小野[芒果汁](CAN245ml),INTR457012418,饮料,3,3,9993,9993
`FS101334,货道7,统一冰红茶[柠檬](PET500ml),INTR894011688,饮料,3,3,9983,9983
`FS101334,货道8,统一冰红茶[柠檬](PET500ml),INTR894011688,饮料,3,3,9970,9970
`FS101334,货道9,统一冰绿茶[青梅绿茶](PET500ml),INTR469011681,饮料,3,3,9962,9962
`FS101334,货道10,统一冰绿茶[青梅绿茶](PET500ml),INTR469011681,饮料,3,3,9944,9944
`FS101334,货道11,雅哈[冰咖啡](PET450ml),INTR470011686,饮料,5.5,5.5,9960,9960
`FS101334,货道13,体质能量(PET580ml),INTR468012175,饮料,4,4,9928,9928
`FS101334,货道14,,,,,0,0,0
`FS101334,货道15,体质能量(PET580ml),INTR468012175,饮料,4,4,9964,9964
`FS101334,货道16,,,,,0,0,0
`FS101334,货道17,饮养四季[金桔柠檬](PET500ml),INTR372011680,饮料,3.5,3,9911,9911
`FS101334,货道19,统一轻啵苏打水[桃花味](PET500ml),INTR876012423,饮料,3.5,3.5,9987,9987
`FS101334,货道21,焕神[热带水果风味]饮料(PET460ml),INTR583011691,饮料,5,5,9962,9962
`FS101334,货道23,雪碧[自购版](CAN330ml),INTR685011636,饮料,3,3,9984,9984
`FS101334,货道24,雪碧[自购版](CAN330ml),INTR685011636,饮料,3,3,9986,9986
`FS101334,货道25,小茗同学[溜溜哒茶](PET480ml),INTR973011692,饮料,5,5,9978,9978
`FS101334,货道26,小茗同学[溜溜哒茶](PET480ml),INTR973011692,饮料,5,5,9987,9987
`FS101334,货道27,统一阿萨姆[奶茶原味](PET500ml),INTR230011689,饮料,4.5,4.5,9958,9958
`FS101334,货道28,统一阿萨姆[奶茶原味](PET500ml),INTR230011689,饮料,4.5,4.5,9958,9958
`FS101334,货道29,统一鲜橙多(PET450ml),INTR910011664,饮料,3.5,3.5,9987,9987
`FS101334,货道30,统一鲜橙多(PET450ml),INTR910011664,饮料,3.5,3.5,9978,9978
`FS101334,货道31,今麦郎芒顿小镇柠檬水(PET500ml),INTR322012790,饮料,2.5,3,9988,9988
`FS101334,货道32,今麦郎芒顿小镇柠檬水(PET500ml),INTR322012790,饮料,2.5,2.5,9999,9999
`FS101334,货道33,海之言[蓝莓](PET500ml),INTR526012420,饮料,4,4,9931,9931
`FS101334,货道34,海之言[蓝莓](PET500ml),INTR526012420,饮料,4,4,9923,9923
`FS101253,货道1,可口可乐[自购版](CAN330ml),INTR121011635,饮料,3,3,9965,9965
`FS101253,货道2,可口可乐[自购版](CAN330ml),INTR121011635,饮料,3,3,9943,9943
`FS101253,货道3,宏宝莱碳酸饮料汽水荔枝味(CAN330ml),INTR992013247,饮料,3,2.5,9959,9959
`FS101253,货道4,小野[芒果汁](CAN245ml),INTR457012418,饮料,3,3,9999,9999
`FS101253,货道5,爱朵拉拿铁咖啡(CAN310ml),INTR459011637,饮料,4,4,9990,9990
`FS101253,货道6,零度可口可乐,INTR427002411,碳酸饮料,3,3,9999,9999
`FS101253,货道7,统一冰红茶[柠檬](PET500ml),INTR894011688,饮料,3,3,9982,9982
`FS101253,货道8,统一冰红茶[柠檬](PET500ml),INTR894011688,饮料,3,3,9944,9944
`FS101253,货道9,统一冰绿茶[青梅绿茶](PET500ml),INTR469011681,饮料,3,3,9940,9940
`FS101253,货道10,统一冰绿茶[青梅绿茶](PET500ml),INTR469011681,饮料,3,3,9939,9939
`FS101253,货道11,雅哈[冰咖啡](PET450ml),INTR470011686,饮料,5.5,5.5,9959,9959
`FS101253,货道12,,,,,,0,0
`FS101253,货道13,体质能量(PET580ml),INTR468012175,饮料,4,4,9933,9933
`FS101253,货道14,,,,,0,0,0
`FS101253,货道15,体质能量(PET580ml),INTR468012175,饮料,4,4,9942,9942
`FS101253,货道16,,,,,0,0,0
`FS101253,货道17,饮养四季[金桔柠檬](PET500ml),INTR372011680,饮料,3.5,3,9909,9909
`FS101253,货道18,,,,,,0,0
`FS101253,货道19,统一轻啵苏打水[桃花味](PET500ml),INTR876012423,饮料,3.5,3.5,9982,9982
`FS101253,货道20,,,,,,0,0
`FS101253,货道21,焕神[热带水果风味]饮料(PET460ml),INTR583011691,饮料,5,5,9966,9966
`FS101253,货道22,,,,,,0,0
`FS101253,货道23,雪碧[自购版](CAN330ml),INTR685011636,饮料,3,3,9969,9969
`FS101253,货道24,雪碧[自购版](CAN330ml),INTR685011636,饮料,3,3,9965,9965
`FS101253,货道25,小茗同学[溜溜哒茶](PET480ml),INTR973011692,饮料,5,5,9982,9982
`FS101253,货道26,小茗同学[溜溜哒茶](PET480ml),INTR973011692,饮料,5,5,9978,9978
`FS101253,货道27,统一阿萨姆[奶茶原味](PET500ml),INTR230011689,饮料,4.5,4.5,9968,9968
`FS101253,货道28,统一阿萨姆[奶茶原味](PET500ml),INTR230011689,饮料,4.5,4.5,9977,9977
`FS101253,货道29,统一鲜橙多(PET450ml),INTR910011664,饮料,3.5,3.5,9962,9962
`FS101253,货道30,统一鲜橙多(PET450ml),INTR910011664,饮料,3.5,3.5,9955,9955
`FS101253,货道31,元气森林苏打气泡水[荔枝味](PET480ml),INTR976013213,饮料,4,5,9969,9969
`FS101253,货道32,今麦郎芒顿小镇柠檬水(PET500ml),INTR322012790,饮料,2.5,3,9980,9980
`FS101253,货道33,海之言[蓝莓](PET500ml),INTR526012420,饮料,4,4,9936,9936
`FS101253,货道34,海之言[蓝莓](PET500ml),INTR526012420,饮料,4,4,9915,9915
`FS100772,货道1,统一好料道[仙草凉茶](CAN310ml),INTR791011678,饮料,4,4,20,20
`FS100772,货道2,统一好料道[仙草凉茶](CAN310ml),INTR791011678,饮料,4,4,17,17
`FS100772,货道3,统一果汁[金桔柠檬](CAN310ml),1.56473E+17,开门柜,3,2.5,1,1
`FS100772,货道4,统一鲜橙多(CAN310ml),INTR767011663,饮料,3,2.5,8,8
`FS100772,货道5,统一鲜橙多(CAN310ml),INTR767011663,饮料,3,2.5,9,9
`FS100772,货道6,米源冰晶葡萄(CAN310ml),INTR290012105,饮料,2.5,2.5,9,9
`FS100772,货道7,农夫山泉(PET550ml),INTR993012106,矿泉水,2,2,8,8
